sha_group_id,classes,n_images,correct_class,ruling,note,decided_at
8359,"168,210",2,168,reassign,,2026-09-23T02:52:09+00:00
11805,"210,229",2,,hold,ambigious: า vs  ๅ,2026-09-23T02:52:09+00:00
21076,"168,210",2,168,reassign,,2026-09-23T02:52:09+00:00
30394,"199,210",3,199,reassign,,2026-09-23T02:52:09+00:00
30588,"168,210",2,168,reassign,,2026-09-23T02:52:09+00:00
31007,"193,209",2,209,reassign,,2026-09-23T02:52:09+00:00
37110,"185,186",2,185,reassign,,2026-09-23T02:52:09+00:00
49065,"164,181",2,164,reassign,,2026-09-23T02:52:09+00:00
52729,"168,210",2,168,reassign,,2026-09-23T02:52:09+00:00
58191,"168,210",2,168,reassign,,2026-09-23T02:52:09+00:00
59099,"210,229",2,,hold,ambigious: า vs  ๅ,2026-09-23T02:52:09+00:00
