class_folder,n_images_raw,n_images_dedup,n_cross_class_dup,n_redundant_copies,width_min,width_max,width_mean,height_min,height_max,height_mean,brightness_mean,contrast_mean,ink_ratio_mean
161,1945,1928,0,17,8,32,16.78,13,41,21.58,146.92,124.45,0.42
162,1354,1347,0,7,7,36,16.9,13,41,21.81,136.55,125.87,0.46
163,1,1,0,0,13,13,13.0,15,15,15.0,132.07,126.63,0.48
164,1456,1450,2,6,9,54,17.32,13,42,21.92,136.01,125.78,0.47
167,1080,1071,0,9,6,31,12.74,11,41,20.81,143.16,125.04,0.44
168,1220,1214,10,6,5,24,14.6,13,40,21.94,137.26,125.94,0.46
169,44,44,0,0,11,26,18.77,14,31,21.2,137.63,125.72,0.46
170,1038,1038,0,0,8,53,19.01,13,41,21.83,147.38,124.63,0.42
171,270,270,0,0,11,56,21.72,13,41,22.68,149.02,124.6,0.42
173,116,116,0,0,14,37,24.81,14,31,22.46,144.65,125.31,0.43
175,32,32,0,0,11,23,17.19,20,41,31.84,141.59,125.66,0.44
176,119,119,0,0,8,28,15.65,14,40,22.48,134.23,126.14,0.47
177,1,1,0,0,15,15,15.0,13,13,13.0,124.36,126.91,0.51
178,48,48,0,0,10,33,23.83,14,31,22.75,128.93,126.47,0.49
179,289,289,0,0,14,49,26.8,13,42,21.49,141.75,125.21,0.44
180,2013,2004,0,9,7,35,16.99,9,41,21.51,132.66,126.0,0.48
181,1674,1673,0,1,7,35,17.32,10,41,21.43,131.26,126.03,0.49
182,436,436,0,0,8,23,16.82,13,31,21.61,139.42,125.76,0.45
183,1731,1721,0,10,8,39,19.5,10,41,21.5,141.01,125.32,0.45
184,146,146,0,0,9,28,16.75,14,31,22.06,127.9,125.92,0.5
185,4870,4824,2,46,8,58,20.78,10,42,21.63,152.2,123.82,0.4
186,1874,1813,0,61,9,54,19.56,12,42,21.95,147.2,124.88,0.42
187,1140,1124,0,16,8,54,19.56,19,67,31.91,169.91,119.01,0.33
188,344,343,0,1,8,35,17.18,13,42,21.5,129.67,126.2,0.49
189,39,39,0,0,12,46,18.49,19,51,29.9,152.39,123.58,0.4
190,745,745,0,0,10,56,20.77,13,41,21.69,136.65,125.92,0.46
191,103,103,0,0,13,43,20.83,19,65,32.21,164.37,120.82,0.35
192,241,241,0,0,9,36,18.99,13,40,22.23,148.53,124.54,0.42
193,3308,3283,0,25,8,53,18.34,13,41,21.65,138.1,125.73,0.46
194,2186,2174,0,12,7,47,15.19,11,41,21.62,126.29,126.2,0.5
195,4669,4580,0,89,4,34,14.25,8,42,21.71,152.65,123.59,0.4
196,13,13,0,0,14,29,19.54,30,47,36.38,154.78,123.48,0.39
197,2188,2181,0,7,7,48,16.55,13,41,21.51,131.27,125.85,0.49
199,2199,2149,3,50,6,42,14.87,13,41,21.38,165.14,120.65,0.35
200,93,93,0,0,11,35,18.62,14,40,24.22,146.13,124.96,0.43
201,266,266,0,0,9,38,20.59,13,41,22.14,138.5,125.67,0.46
202,1594,1590,0,4,2,40,19.52,3,45,23.24,146.56,123.99,0.42
203,1488,1479,0,9,8,56,20.17,10,39,21.39,146.71,124.75,0.42
204,3,3,0,0,15,23,20.0,21,31,27.67,139.46,126.24,0.45
205,3270,3243,0,27,7,47,16.02,13,41,21.13,133.18,125.84,0.48
206,10,10,0,0,12,32,17.4,15,28,21.7,129.13,125.94,0.49
207,20,20,0,0,8,20,14.15,14,28,20.5,145.84,124.58,0.43
209,4095,3661,2,434,2,43,15.25,2,18,8.53,118.64,125.81,0.54
