rms_bin_lo,rms_bin_hi,pairs
0.0,0.25,17701
0.25,0.5,0
0.5,0.75,0
0.75,1.0,0
1.0,1.25,0
1.25,1.5,0
1.5,1.75,0
1.75,2.0,1
2.0,2.25,0
2.25,2.5,0
2.5,2.75,0
2.75,3.0,2
3.0,3.25,1
3.25,3.5,5
3.5,3.75,11
3.75,4.0,14
4.0,4.25,12
4.25,4.5,89
4.5,4.75,64
4.75,5.0,24
5.0,5.25,27
5.25,5.5,63
5.5,5.75,67
5.75,6.0,208
6.0,6.25,141
6.25,6.5,162
6.5,6.75,298
6.75,7.0,529
7.0,7.25,492
7.25,7.5,605
7.5,7.75,1076
7.75,8.0,509
8.0,8.25,607
8.25,8.5,385
8.5,8.75,452
8.75,9.0,617
9.0,9.25,1064
9.25,9.5,926
9.5,9.75,701
9.75,10.0,810
10.0,10.25,1391
10.25,10.5,1342
10.5,10.75,1646
10.75,11.0,1996
11.0,11.25,2046
11.25,11.5,1594
11.5,11.75,1777
11.75,12.0,2300
12.0,12.25,2275
12.25,12.5,2506
12.5,12.75,2611
12.75,13.0,7927
13.0,13.25,4260
13.25,13.5,3077
13.5,13.75,6910
13.75,14.0,7038
14.0,14.25,4491
14.25,14.5,4713
14.5,14.75,3814
14.75,15.0,6101
15.0,15.25,5814
15.25,15.5,6207
15.5,15.75,5338
15.75,16.0,5706
16.0,16.25,6052
16.25,16.5,6875
16.5,16.75,8004
16.75,17.0,10385
17.0,17.25,7876
17.25,17.5,8228
17.5,17.75,7769
17.75,18.0,8843
18.0,18.25,9182
18.25,18.5,10424
18.5,18.75,12820
18.75,19.0,10304
19.0,19.25,10200
19.25,19.5,14792
19.5,19.75,13977
19.75,20.0,15087
20.0,20.25,17462
20.25,20.5,14843
20.5,20.75,19161
20.75,21.0,17735
21.0,21.25,20960
21.25,21.5,16676
21.5,21.75,19081
21.75,22.0,18233
22.0,22.25,19383
22.25,22.5,20281
22.5,22.75,20740
22.75,23.0,22118
23.0,23.25,24174
23.25,23.5,24558
23.5,23.75,25369
23.75,24.0,23271
24.0,24.25,27525
24.25,24.5,25126
24.5,24.75,31080
24.75,25.0,30526
25.0,25.25,31826
25.25,25.5,29719
25.5,25.75,30280
25.75,26.0,37464
26.0,26.25,34306
26.25,26.5,34476
26.5,26.75,36180
26.75,27.0,38668
27.0,27.25,37962
27.25,27.5,38234
27.5,27.75,37653
27.75,28.0,41200
28.0,28.25,42328
28.25,28.5,42707
28.5,28.75,44821
28.75,29.0,47269
29.0,29.25,46445
29.25,29.5,45645
29.5,29.75,50042
29.75,30.0,51033
30.0,30.25,53873
30.25,30.5,53182
