near_dup_group_id,path,class_folder,sha_group_id,sha_group_spans_classes,near_dup_group_size,classes_in_group,n_distinct_sha
957,210/be_005tg_2_274.jpg,210,50826,False,28,"210,229",14
957,210/be_005tg_5_156.jpg,210,15606,False,28,"210,229",14
957,210/be_005tg_5_57.jpg,210,8371,False,28,"210,229",14
957,229/be_003tg_8_274.jpg,229,9009,False,28,"210,229",14
957,229/be_003tg_9_209.jpg,229,6437,False,28,"210,229",14
957,229/be_004tg_6_325.jpg,229,53027,False,28,"210,229",14
957,229/be_005tg_5_465.jpg,229,6437,False,28,"210,229",14
957,229/be_006tg_3_117.jpg,229,6437,False,28,"210,229",14
957,229/be_006tg_8_98.jpg,229,6437,False,28,"210,229",14
957,229/be_007tg_6_50.jpg,229,9009,False,28,"210,229",14
957,229/be_007tg_7_347.jpg,229,957,False,28,"210,229",14
957,229/be_008tg_4_214.jpg,229,10176,False,28,"210,229",14
957,229/be_008tg_7_80.jpg,229,6437,False,28,"210,229",14
957,229/be_012tg_4_159.jpg,229,33514,False,28,"210,229",14
957,229/be_013tg_1_151.jpg,229,957,False,28,"210,229",14
957,229/be_014tg_3_40.jpg,229,957,False,28,"210,229",14
957,229/be_015tg_2_181.jpg,229,8952,False,28,"210,229",14
957,229/be_015tg_2_360.jpg,229,8952,False,28,"210,229",14
957,229/be_016tg_10_123.jpg,229,6437,False,28,"210,229",14
957,229/be_016tg_11_322.jpg,229,37563,False,28,"210,229",14
957,229/be_017tg_6_171.jpg,229,9009,False,28,"210,229",14
957,229/be_017tg_6_322.jpg,229,7420,False,28,"210,229",14
957,229/be_017tg_7_56.jpg,229,6437,False,28,"210,229",14
957,229/be_018tg_3_290.jpg,229,48242,False,28,"210,229",14
957,229/be_018tg_6_64.jpg,229,18844,False,28,"210,229",14
957,229/be_018tg_7_189.jpg,229,9009,False,28,"210,229",14
957,229/be_018tg_9_7.jpg,229,18844,False,28,"210,229",14
957,229/be_020tg_5_130.jpg,229,33514,False,28,"210,229",14
6111,210/be_003tg_4_241.jpg,229,38257,False,9,"210,229",7
6111,210/be_003tg_8_178.jpg,210,24721,False,9,"210,229",7
6111,210/be_006tg_3_146.jpg,210,46688,False,9,"210,229",7
6111,210/be_013tg_1_414.jpg,210,49511,False,9,"210,229",7
6111,210/be_013tg_2_20.jpg,229,8627,False,9,"210,229",7
6111,210/be_013tg_6_87.jpg,210,14917,False,9,"210,229",7
6111,210/be_016tg_11_12.jpg,210,6111,False,9,"210,229",7
6111,210/be_017tg_7_152.jpg,210,49511,False,9,"210,229",7
6111,210/be_018tg_7_235.jpg,229,8627,False,9,"210,229",7
18293,210/be_002tg_10_185.jpg,210,48776,False,6,"210,229",6
18293,210/be_006tg_1_394.jpg,229,18293,False,6,"210,229",6
18293,210/be_017tg_6_249.jpg,210,55629,False,6,"210,229",6
18293,210/be_018tg_7_97.jpg,210,37937,False,6,"210,229",6
18293,229/be_004tg_6_480.jpg,229,23884,False,6,"210,229",6
18293,229/be_014tg_4_73.jpg,229,46564,False,6,"210,229",6
