folder_name,class_folder,is_numeric,n_images,is_empty
161,161,True,1951,False
162,162,True,1355,False
163,163,True,1,False
164,164,True,1448,False
167,167,True,1078,False
168,168,True,1202,False
169,169,True,43,False
170,170,True,1013,False
171,171,True,295,False
173,173,True,113,False
175,175,True,32,False
176,176,True,118,False
177,177,True,1,False
178,178,True,48,False
179,179,True,292,False
180,180,True,2025,False
181,181,True,1662,False
182,182,True,435,False
183,183,True,1745,False
184,184,True,143,False
185,185,True,4863,False
186,186,True,1889,False
187,187,True,1133,False
188,188,True,344,False
189,189,True,39,False
190,190,True,729,False
191,191,True,103,False
192,192,True,239,False
193,193,True,3306,False
194,194,True,2197,False
195,195,True,4663,False
196,196,True,13,False
197,197,True,2187,False
199,199,True,1724,False
200,200,True,94,False
201,201,True,264,False
202,202,True,1595,False
203,203,True,1490,False
204,204,True,3,False
205,205,True,3272,False
206,206,True,10,False
207,207,True,20,False
209,209,True,4120,False
210,210,True,5025,False
212,212,True,47,False
213,213,True,143,False
214,214,True,14,False
215,215,True,60,False
216,216,True,155,False
217,217,True,139,False
224,224,True,203,False
225,225,True,21,False
226,226,True,699,False
227,227,True,1086,False
228,228,True,725,False
229,229,True,2310,False
230,230,True,121,False
231,231,True,119,False
232,232,True,479,False
233,233,True,1007,False
234,234,True,49,False
236,236,True,726,False
240,240,True,83,False
241,241,True,46,False
242,242,True,39,False
243,243,True,23,False
244,244,True,16,False
245,245,True,17,False
246,246,True,12,False
247,247,True,4,False
248,248,True,27,False
249,249,True,15,False
