class_idx,folder,character,train_n,val_n,status
0,161,ก,1543,398,validated
1,162,ข,1060,290,validated
2,163,ฃ,1,0,not_validated
3,164,ค,1102,343,validated
4,167,ง,920,149,validated
5,168,จ,914,287,validated
6,169,ฉ,37,6,validated
7,170,ช,850,163,validated
8,171,ซ,246,49,validated
9,173,ญ,93,20,validated
10,175,ฏ,23,9,validated
11,176,ฐ,91,27,validated
12,177,ฑ,1,0,not_validated
13,178,ฒ,36,12,validated
14,179,ณ,249,43,validated
15,180,ด,1576,443,validated
16,181,ต,1338,322,validated
17,182,ถ,322,113,validated
18,183,ท,1400,337,validated
19,184,ธ,116,27,validated
20,185,น,3878,949,validated
21,186,บ,1471,370,validated
22,187,ป,908,210,validated
23,188,ผ,275,68,validated
24,189,ฝ,36,3,weak
25,190,พ,582,147,validated
26,191,ฟ,86,17,validated
27,192,ภ,183,56,validated
28,193,ม,2687,597,validated
29,194,ย,1751,438,validated
30,195,ร,3691,907,validated
31,196,ฤ,13,0,not_validated
32,197,ล,1815,366,validated
33,199,ว,1343,357,validated
34,200,ศ,84,10,validated
35,201,ษ,202,62,validated
36,202,ส,1299,293,validated
37,203,ห,1257,227,validated
38,204,ฬ,3,0,not_validated
39,205,อ,2626,625,validated
40,206,ฮ,10,0,not_validated
41,207,ฯ,16,4,weak
42,209,ั,2976,822,validated
43,210,า,3673,943,validated
44,212,ิ,36,11,validated
45,213,ี,106,37,validated
46,214,ึ,14,0,not_validated
47,215,ื,53,7,validated
48,216,ุ,136,18,validated
49,217,ู,113,26,validated
50,224,เ,112,79,validated
51,225,แ,19,2,weak
52,226,โ,567,131,validated
53,227,ใ,877,205,validated
54,228,ไ,550,175,validated
55,229,ๅ,1036,379,validated
56,230,ๆ,99,21,validated
57,231,็,100,18,validated
58,232,่,289,43,validated
59,233,้,801,190,validated
60,234,๊,45,4,weak
61,236,์,566,131,validated
62,240,๐,64,17,validated
63,241,๑,39,7,validated
64,242,๒,25,14,validated
65,243,๓,17,6,validated
66,244,๔,16,0,not_validated
67,245,๕,17,0,not_validated
68,246,๖,12,0,not_validated
69,247,๗,4,0,not_validated
70,248,๘,24,3,weak
71,249,๙,15,0,not_validated
