writer_id,split,n_images,n_classes,config_hash
bc_001,val,917,41,21659d2db95e
bc_002,train,1660,43,21659d2db95e
bc_003,train,24,10,21659d2db95e
bc_004,train,1085,40,21659d2db95e
bc_005,train,695,37,21659d2db95e
bc_006,train,624,36,21659d2db95e
bc_007,train,1198,43,21659d2db95e
bc_008,train,2790,51,21659d2db95e
bc_009,val,762,40,21659d2db95e
bc_010,train,48,18,21659d2db95e
bc_011,train,860,43,21659d2db95e
bc_012,train,1053,42,21659d2db95e
bc_013,val,84,21,21659d2db95e
bc_014,train,1438,43,21659d2db95e
bc_015,train,1236,39,21659d2db95e
bc_016,train,1389,42,21659d2db95e
bc_017,train,1499,40,21659d2db95e
bc_018,train,1149,40,21659d2db95e
bc_019,train,1791,42,21659d2db95e
bc_020,val,1269,42,21659d2db95e
be_001,train,1186,41,21659d2db95e
be_002,val,2016,42,21659d2db95e
be_003,train,1974,40,21659d2db95e
be_004,train,1630,39,21659d2db95e
be_005,train,1817,38,21659d2db95e
be_006,val,2515,48,21659d2db95e
be_007,train,2052,45,21659d2db95e
be_008,train,1542,48,21659d2db95e
be_009,train,1146,40,21659d2db95e
be_011,train,1448,45,21659d2db95e
be_012,train,1092,38,21659d2db95e
be_013,train,1767,45,21659d2db95e
be_014,train,1486,42,21659d2db95e
be_015,train,1363,41,21659d2db95e
be_016,val,1967,45,21659d2db95e
be_017,train,1675,48,21659d2db95e
be_018,val,2219,44,21659d2db95e
be_019,train,1849,41,21659d2db95e
be_020,train,1872,47,21659d2db95e
bl_001,train,1014,37,21659d2db95e
bl_002,train,853,40,21659d2db95e
bl_003,train,1169,38,21659d2db95e
bl_004,val,671,35,21659d2db95e
bl_005,train,771,36,21659d2db95e
bl_006,train,772,32,21659d2db95e
bl_007,train,860,35,21659d2db95e
bl_008,train,620,32,21659d2db95e
bl_009,train,492,31,21659d2db95e
bl_010,train,469,32,21659d2db95e
bl_011,train,561,36,21659d2db95e
bl_012,train,65,25,21659d2db95e
ce_001,train,159,37,21659d2db95e
