class_idx,folder,character
0,161,ก
1,162,ข
2,163,ฃ
3,164,ค
4,167,ง
5,168,จ
6,169,ฉ
7,170,ช
8,171,ซ
9,173,ญ
10,175,ฏ
11,176,ฐ
12,177,ฑ
13,178,ฒ
14,179,ณ
15,180,ด
16,181,ต
17,182,ถ
18,183,ท
19,184,ธ
20,185,น
21,186,บ
22,187,ป
23,188,ผ
24,189,ฝ
25,190,พ
26,191,ฟ
27,192,ภ
28,193,ม
29,194,ย
30,195,ร
31,196,ฤ
32,197,ล
33,199,ว
34,200,ศ
35,201,ษ
36,202,ส
37,203,ห
38,204,ฬ
39,205,อ
40,206,ฮ
41,207,ฯ
42,209,ั
43,210,า
44,212,ิ
45,213,ี
46,214,ึ
47,215,ื
48,216,ุ
49,217,ู
50,224,เ
51,225,แ
52,226,โ
53,227,ใ
54,228,ไ
55,229,ๅ
56,230,ๆ
57,231,็
58,232,่
59,233,้
60,234,๊
61,236,์
62,240,๐
63,241,๑
64,242,๒
65,243,๓
66,244,๔
67,245,๕
68,246,๖
69,247,๗
70,248,๘
71,249,๙
